name,number,year,extraction_annual,extraction_cumulative,transfers_in_annual,transfers_in_cumulative,expenses_annual,balance,transfers_out,distribution,city_admin_costs,finance_costs,bank,finance_costs_2,bank_2,url,creation,expiration
24th/Michigan,072,2018,3391228,18011510,,136861677,887746,15544540,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_072_24thMichiganAR18.pdf,7/21/1999,7/21/2022
26th/King Drive,141,2018,806341,7402785,,0,742264,1445743,,,12048.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_141_26thKingAR18.pdf,1/11/2006,12/31/2030
35th/Halsted,001,2018,8659118,71541377,,3243618,1899028,28904728,6275200,,114557.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_001_35thHalstedAR18.pdf,1/14/1997,12/31/2021
35th/State,131,2018,2124744,17837367,,3500000,1912455,2378974,60000,,31605.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_131_35thStateAR18.pdf,1/14/2004,12/31/2028
35th/Wallace,079,2018,1122001,9352659,,0,178167,6770170,860200,,15680.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_079_35thWallaceAR18.pdf,12/15/1999,12/31/2023
"Forty-First Street and Dr. Martin Luther King, Jr. Drive",002,2018,206032,3332690,,0,173489,0,1309226,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_002_41stKingAR18.pdf,7/13/1994,12/31/2018
43rd/Cottage Grove,055,2018,3780170,37084457,,0,2238539,14273179,612200,,50944.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_055_43rdCottageGroveAR18.pdf,7/8/1998,12/31/2022
47th/Ashland,117,2018,2881107,34524337,,2431313,2402541,10515107,,,37508.00,1680102.10,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_117_47thAshlandAR18.pdf,3/27/2002,12/31/2026
47th/Halsted,121,2018,3257158,38774952,,3950064,1510235,12436784,400000,1587500,44117.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_121_47thHalstedAR18.pdf,5/29/2002,12/31/2026
47th/King Drive,118,2018,7896419,93260588,,0,3959835,21340282,4108300,400000,106096.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_118_47thKingAR18.pdf,3/27/2002,12/31/2026
47th/State,136,2018,1591896,18615380,,0,115444,10610302,3347400,,21526.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_136_47thStateAR18.pdf,7/21/2004,12/31/2028
49th/St. Lawrence,004,2018,465973,6532312,,0,176422,1641443,127100,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_004_49thStLawrenceAR18.pdf,1/10/1996,12/31/2020
51st/Archer,097,2018,785968,9367592,13954017,45607888,18580306,3171304,,,10405.00,17486333.33,Zions Bank,1030694.90,Amalgamated Bank of Chicago,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_097_51stArcherAR18.pdf,5/17/2000,12/31/2024
51st/Lake Park,175,2018,1868886,2063038,,0,206533,1831507,,,17151.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_175_51stLakeParkAR18.pdf,11/15/2012,12/31/2036
53rd Street,105,2018,5556590,24839463,,0,3773382,7603473,,,69944.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_105_53rdAR18.pdf,1/10/2001,12/31/2025
60th/Western,005,2018,254863,5769605,,0,5897,1861181,13700,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_005_60thWesternAR18.pdf,5/9/1996,5/9/2019
63rd/Ashland,143,2018,1188764,8130370,,4100000,1567774,4503734,,,16077.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_143_63rdAshlandAR18.pdf,3/29/2006,12/31/2030
63rd/Pulaski,098,2018,2201497,29541098,,0,167431,3443456,,2612731,28513.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_098_63rdPulaskiAR18.pdf,5/17/2000,12/31/2024
67th/Cicero,124,2018,286665,3515836,,3284023,192213,817250,21300,976540,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_124_67thCiceroAR18.pdf,10/2/2002,12/31/2026
67th/Wentworth,174,2018,0,0,,625000,124635,504876,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_174_67thWentworthAR18.pdf,5/4/2011,12/31/2035
71st/Stony Island,060,2018,3400461,45588581,5565642,57288397,8552710,16195797,,,44521.00,8277000.00,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_060_71stStonyIslandAR18.pdf,10/7/1998,10/7/2021
73rd/University,145,2018,432603,4620889,,0,8414,1663786,33000,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_145_73rdUniversityAR18.pdf,9/13/2006,12/31/2030
79th Street Corridor,056,2018,969073,12214759,,0,127914,7118708,72800,,12754.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_056_79thAR18.pdf,7/8/1998,7/8/2021
79th/Cicero,140,2018,605606,5203264,,0,492366,743313,41900,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_140_79thCiceroAR18.pdf,6/8/2005,12/31/2029
79th/Southwest Highway,112,2018,1756655,18294215,,0,274514,6284609,2172800,,21415.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_112_79thSWHighwayAR18.pdf,10/3/2001,12/31/2025
79th/Vincennes,155,2018,176688,2854417,,0,5189,1964836,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_155_79thVincennesAR18.pdf,9/27/2007,12/31/2031
83rd/Stewart,133,2018,1376141,8319105,,0,1268014,1480509,,,17394.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_133_83rdStewartAR18.pdf,3/31/2004,12/31/2028
87th/Cottage Grove,127,2018,1892689,26163839,,625000,603793,1750507,,1892221,26494.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_127_87thCottageGroveAR18.pdf,11/13/2002,12/31/2026
95th/Western,009,2018,1221138,14510402,,1200000,169065,1987306,,1000000,15234.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_009_95thWesternAR18.pdf,7/13/1995,12/31/2019
105th/Vincennes,111,2018,1038646,5989028,706761,2320284,1426644,2524684,,,14568.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_111_105thVincennesAR18.pdf,10/3/2001,12/31/2025
107th/Halsted,176,2018,587691,1736732,,1000000,167314,2508350,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_176_107thHalstedAR18.pdf,4/2/2014,12/31/2038
111th/Kedzie,073,2018,940598,8817043,,0,154364,1666772,52400,500000,11322.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_073_111thKedzieAR18.pdf,9/29/1999,9/29/2022
116th/Avenue O,182,2018,,0,,0,0,0,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_182_116thAvenueOAR18.pdf,10/31/2018,12/31/2042
119th/Halsted,114,2018,1335553,10579283,,97500,173525,4498791,210500,,18644.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_114_119thHalstedAR18.pdf,2/6/2002,12/31/2026
119th/I-57,125,2018,3349436,28955082,,950000,2309480,7416429,1057800,1037876,56084.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_125_119thI57AR18.pdf,11/6/2002,12/31/2026
Addison South,150,2018,4441304,28692358,,0,886009,13242302,1549300,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_150_AddisonSouthAR18.pdf,5/9/2007,12/31/2031
Archer/Central,099,2018,518610,9217233,,240000,311894,1564719,27300,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_099_ArcherCentralAR18.pdf,5/17/2000,12/31/2024
Archer Courts,067,2018,497213,5479532,,2235487,124663,1883357,174700,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_067_ArcherCourtsAR18.pdf,5/12/1999,12/31/2023
Archer/Western,163,2018,28921,1189030,,0,110756,623030,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_163_ArcherWesternAR18.pdf,2/11/2009,12/31/2033
Armitage/Pulaski,151,2018,204325,1962010,,0,279652,837738,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_151_ArmitagePulaskiAR18.pdf,6/13/2007,12/31/2031
Austin Commercial,156,2018,1093192,10330821,,235000,589979,5015699,,,14249.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_156_AustinCommercialAR18.pdf,9/27/2007,12/31/2031
Avalon Park/South Shore,123,2018,498862,7889091,,0,117868,2738612,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_123_AvalonSouthShoreAR18.pdf,7/31/2002,12/31/2026
Avondale,167,2018,66858,583738,,2900000,1224775,1297597,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_167_AvondaleAR18.pdf,7/29/2009,12/31/2033
Belmont/Central,081,2018,6597854,45500879,,938,549568,14097845,,1972047,86097.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_081_BelmontCentralAR18.pdf,1/12/2000,12/31/2024
Belmont/Cicero,082,2018,1388444,17048349,,0,330330,3701996,272600,,16787.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_082_BelmontCiceroAR18.pdf,1/12/2000,12/31/2024
Bronzeville,061,2018,4326561,56192854,400000,5400000,334453,23028967,500000,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_061_BronzevilleAR18.pdf,11/4/1998,12/31/2022
Bryn Mawr/Broadway,013,2018,2361236,27503468,,4684947,10485540,5626821,1138200,,32713.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_013_BrynMawrBroadwayAR18.pdf,12/11/1996,12/11/2019
Calumet/Cermak,059,2018,12820529,157319582,,28000000,2408626,0,20859605,,184640.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_059_CalumetCermakAR18.pdf,7/29/1998,12/31/2018
Canal/Congress,063,2018,35344020,307707258,7300000,8391731,12623946,36867939,23000000,41000000,434737.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_063_CanalCongressAR18.pdf,11/12/1998,12/31/2022
Central West,086,2018,23591439,217488844,,70617714,28162838,49763204,15386600,,327625.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_086_CentralWestAR18.pdf,2/16/2000,12/31/2024
Chicago/Central Park,115,2018,7013275,76103908,18026466,101283414,33646395,27776452,,,94790.00,27322395.83,Zions Bank,4848830.10,Amalgamated Bank of Chicago,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_115_ChicagoCentralParkAR18.pdf,2/27/2002,12/31/2026
Chicago/Kingsbury,094,2018,34034914,244752947,,0,5795267,57917125,10000000,,401424.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_094_ChicagoKingsburyAR18.pdf,4/12/2000,12/31/2024
Clark/Montrose,070,2018,4006047,35334266,,2000000,760688,11726353,2925100,,51898.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_070_ClarkMontroseAR18.pdf,7/7/1999,7/7/2022
Clark/Ridge,074,2018,2719709,29191322,,0,752034,7897915,772400,1400000,34217.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_074_ClarkRidgeAR18.pdf,9/29/1999,9/29/2022
Cicero/Archer,096,2018,827681,11197947,,0,694829,4607662,55200,,10651.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_096_CiceroArcherAR18.pdf,5/17/2000,12/31/2024
Commercial Avenue,128,2018,1448315,19486942,,0,230921,8773336,83900,,18997.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_128_CommercialAR18.pdf,11/13/2002,12/31/2026
Devon/Sheridan,134,2018,1818149,6474696,,3136000,25607,5633547,,,22240.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_134_DevonSheridanAR18.pdf,3/31/2004,12/31/2028
Devon/Western,076,2018,3182846,37361363,,3340000,164354,2509501,,1968193,41346.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_076_DevonWesternAR18.pdf,11/3/1999,12/31/2023
Diversey/Chicago River,179,2018,0,0,,350000,331165,21875,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_179_DiverseyChicagoRiverAR18.pdf,10/5/2016,12/31/2040
Diversey/Narragansett,129,2018,3061965,27459987,,0,1643636,4470807,619500,,34389.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_129_DiverseyNarragansettAR18.pdf,2/5/2003,12/31/2027
Division/Homan,107,2018,1417901,16536987,,0,772798,6259351,102700,,19281.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_107_DivisionHomanAR18.pdf,6/27/2001,12/31/2025
Drexel Boulevard,122,2018,307955,3955802,,0,443793,0,358242,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_122_DrexelAR18.pdf,7/10/2002,12/31/2018
Edgewater/Ashland,130,2018,524766,7296198,1400000,1400000,810600,5103894,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_130_EdgewaterAshlandAR18.pdf,10/1/2003,12/31/2027
Elston/Armstrong Industrial Corridor,153,2018,596074,3744560,,0,20055,1512826,32500,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_153_ElstonArmstrongAR18.pdf,7/19/2007,12/31/2031
Englewood Mall,021,2018,1060813,10534231,,7545883,15231,4113740,,,12129.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_021_EnglewoodMallAR18.pdf,11/29/1989,12/31/2025
Englewood Neighborhood,106,2018,4499023,61563376,,0,2634888,23202086,500200,,61750.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_106_EnglewoodNeighborhoodAR18.pdf,6/27/2001,12/31/2025
Ewing Avenue,169,2018,275802,1789142,,6508056,6458,533133,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_169_EwingAR18.pdf,3/10/2010,12/31/2034
Foster/California,177,2018,335096,359325,366666,5278162,377039,341649,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_177_FosterCaliforniaAR18.pdf,4/2/2014,12/31/2038
Foster/Edens,181,2018,,0,,0,0,0,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_181_FosterEdensAR18.pdf,2/28/2018,12/31/2042
Fullerton/Milwaukee,087,2018,9685642,93306942,,52044,3691128,20863786,,,38075.00,2659063.80,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_087_FullertonMilwaukeeAR18.pdf,2/16/2000,12/31/2024
Galewood/Armitage Industrial,071,2018,4268101,38361473,2059694,20197449,4159989,15009202,,,55133.00,3693494.90,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_071_GalewoodArmitageAR18.pdf,7/7/1999,12/31/2023
Goose Island,023,2018,6556364,64763626,,10000000,5831039,15063037,1030100,,77427.00,4548341.25,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_023_GooseIslandAR18.pdf,7/10/1996,7/10/2019
