name,number,year,extraction_annual,extraction_cumulative,transfers_in_annual,transfers_in_cumulative,expenses_annual,balance,transfers_out,distribution,city_admin_costs,finance_costs,bank,finance_costs_2,bank_2,url,creation,expiration
Greater Southwest Industrial (East),066,2018,1230366,12073233,,0,910454,3218971,76100,,15435.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_066_GreaterSouthwestEastAR18.pdf,3/10/1999,12/31/2023
Greater Southwest Industrial (West),092,2018,354022,12722393,976540,976540,94314,5154471,10800,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_092_GreaterSouthwestWestAR18.pdf,4/12/2000,12/31/2024
Harlem Industrial Park Conservation Area,148,2018,0,971268,,0,13989,406906,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_148_HarlemAR18.pdf,3/14/2007,12/31/2031
Harrison/Central,144,2018,254477,4598166,,7348645,294549,1232208,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_144_HarrisonCentralAR18.pdf,7/26/2006,12/31/2030
Hollywood/Sheridan,157,2018,64919,2609247,575824,11500272,651387,1116821,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_157_HollywoodSheridanAR18.pdf,11/7/2007,12/31/2031
Homan/Arthington,024,2018,775390,9556368,,1062798,1028548,3249351,52100,,11699.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_024_HomanArthingtonAR18.pdf,2/5/1998,2/5/2021
Humboldt Park Commercial,108,2018,4206656,40338245,,0,2873242,11130203,1267300,,55746.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_108_HumboldtParkAR18.pdf,6/27/2001,12/31/2025
Irving Park/Elston,165,2018,-1287,933801,,0,5212,454622,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_165_IrvingParkElstonAR18.pdf,5/13/2009,12/31/2033
Irving/Cicero,027,2018,873011,12005610,,1291443,0,2120418,437000,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_027_IrvingCiceroAR18.pdf,6/10/1996,12/31/2020
Jefferson Park,057,2018,1273810,13013471,,853000,133866,6576330,81900,,18132.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_057_JeffersonParkAR18.pdf,9/9/1998,9/9/2021
Jefferson/Roosevelt,101,2018,7908634,68644895,,12500000,593760,8874959,5000000,,107792.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_101_JeffersonRooseveltAR18.pdf,8/30/2000,12/31/2024
Kennedy/Kimball,160,2018,353494,1318377,,0,7677,733865,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_160_KennedyKimballAR18.pdf,3/12/2008,12/31/2032
Kinzie Industrial Corridor,052,2018,44057698,320720165,,0,27751066,95678423,,18730088,528268.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_052_KinzieAR18.pdf,6/10/1998,12/31/2022
Lake Calumet Area Industrial,103,2018,4155705,44323977,,4284000,1491911,12538756,,,48189.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_103_LakeCalumetAR18.pdf,12/13/2000,12/31/2024
Lakefront,119,2018,413483,3536308,,0,201987,1232909,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_119_LakefrontAR18.pdf,3/27/2002,12/31/2026
LaSalle Central,147,2018,69007881,273466310,,8600000,11880023,84770867,15000000,7300000,833575.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_147_LaSalleCentralAR18.pdf,11/15/2006,12/31/2030
Lawrence/Broadway,109,2018,4401829,46663546,,0,1240732,13691879,,575824,60772.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_109_LawrenceBroadwayAR18.pdf,6/27/2001,12/31/2025
Lawrence/Kedzie,088,2018,7916347,99032552,,2500000,4233390,13018818,,,103103.00,3952750.00,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_088_LawrenceKedzieAR18.pdf,2/16/2000,12/31/2024
Lawrence/Pulaski,116,2018,1702042,18756609,,2900000,226233,6987302,,,22253.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_116_LawrencePulaskiAR18.pdf,2/27/2002,12/31/2026
Lincoln Avenue,077,2018,3972755,41959695,10500000,22342064,17116614,4084255,,,48163.00,16879750.00,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_077_LincolnAvenueAR18.pdf,11/3/1999,12/31/2023
Lincoln/Belmont/Ashland,028,2018,1140015,22879686,,0,696311,0,1350820,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_028_LincolnBelmontAshlandAR18.pdf,11/2/1994,12/31/2018
Little Village Industrial Corridor,152,2018,99,2079529,,0,169056,1086572,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_152_LittleVillageAR18.pdf,6/13/2007,12/31/2031
Little Village East,164,2018,-368,464610,,0,3408,359866,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_164_LittleVillageEastAR18.pdf,4/22/2009,12/31/2033
Madden/Wells,126,2018,1359250,11498816,,1051820,3527718,2791942,,,20943.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_126_MaddenWellsAR18.pdf,11/6/2002,12/31/2026
Madison/Austin Corridor,075,2018,2474574,27693790,18890000,64507897,28325048,3321686,,,32553.00,27406062.50,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_075_MadisonAustinAR18.pdf,9/29/1999,12/31/2023
Michigan/Cermak,029,2018,1871123,16101651,,13810000,115998,6344105,3000000,,25875.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_029_MichiganCermakAR18.pdf,9/13/1989,12/31/2025
Midway Industrial Corridor,089,2018,2748443,33907290,,0,229329,4346498,,11641286,57972.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_089_MidwayAR18.pdf,2/16/2000,12/31/2024
Midwest,095,2018,18834683,195300861,8500000,12254510,22260083,33846122,,14086378,252619.00,15807770.83,Zions Bank,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_095_MidwestAR18.pdf,5/17/2000,12/31/2036
Montclare,102,2018,344426,4836908,,0,207496,725436,24300,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_102_MontclareAR18.pdf,8/30/2000,12/31/2024
Montrose/Clarendon,173,2018,266331,1086448,,0,6994,1063411,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_173_MontroseClarendonAR18.pdf,6/30/2010,12/31/2034
Near North,030,2018,33785985,292508726,,3546644,7224212,87184078,5805100,,397360.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_030_NearNorthAR18.pdf,7/30/1997,7/30/2020
North Branch North,033,2018,6536401,70043180,,180604,788936,20002096,1739500,,83238.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_033_NorthBranchNorthAR18.pdf,7/2/1997,12/31/2021
North Branch South,034,2018,12267939,101519491,,2500000,495859,42726830,1685000,,154917.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_034_NorthBranchSouthAR18.pdf,2/5/1998,2/5/2021
North/Cicero,035,2018,2250355,19721458,,0,31385,7170288,348000,,23142.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_035_NorthCiceroAR18.pdf,7/30/1997,7/30/2020
Northwest Industrial Corridor,064,2018,9058076,95836451,,521583,12104115,13966406,,5087647,115279.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_064_NorthwestAR18.pdf,12/2/1998,12/31/2022
Ohio/Wabash,100,2018,1988062,22292120,,0,1829557,1973489,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_100_OhioWabashAR18.pdf,6/7/2000,12/31/2024
North Pullman,166,2018,1237566,5358781,946978,16680164,1101473,2839240,,,17425.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_166_NorthPullmanAR18.pdf,6/30/2009,12/31/2033
Ogden/Pulaski,161,2018,19177,7661471,,1000000,1290277,2899043,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_161_OgdenPulaskiAR18.pdf,4/9/2008,12/31/2032
Pershing/King,154,2018,0,445664,,7025826,2812,165438,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_154_PershingKingAR18.pdf,9/5/2007,12/31/2031
Peterson/Cicero,090,2018,511465,5170052,,0,96828,2384076,831500,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_090_PetersonCiceroAR18.pdf,2/16/2000,12/31/2024
Peterson/Pulaski,091,2018,1733263,14028421,,0,578394,6605640,1559200,,20834.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_091_PetersonPulaskiAR18.pdf,2/16/2000,12/31/2024
Pilsen Industrial Corridor,053,2018,17666066,163943011,,0,7484407,45727431,6830200,,226980.00,4580012.23,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_053_PilsenAR18.pdf,6/10/1998,12/31/2022
Portage Park,058,2018,3072230,37717238,,0,441325,12201553,164700,,39354.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_058_PortageParkAR18.pdf,9/9/1998,9/9/2021
Pratt/Ridge Industrial Park Conservation Area,135,2018,688699,3011900,,0,9290,2053482,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_135_PrattRidgeAR18.pdf,6/23/2004,12/31/2028
Pulaski Industrial Corridor,069,2018,4484724,45526925,,3000000,987184,12379600,,3100000,58925.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_069_PulaskiAR18.pdf,6/9/1999,12/31/2023
Ravenswood Corridor,139,2018,1815608,11917690,,500000,359279,0,2781807,500000,27417.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_139_RavenswoodAR18.pdf,3/9/2005,12/31/2018
Randolph/Wells,172,2018,394105,2130674,,29632000,468901,633053,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_172_RandolphWellsAR18.pdf,6/9/2010,12/31/2034
Read/Dunning,036,2018,2486981,51606182,1700000,3511000,4450749,0,5700640,500000,41418.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_036_ReadDunningAR18.pdf,1/11/1991,12/31/2018
River South,037,2018,31707329,235290928,41000000,92373006,36587034,79780759,,,338030.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_037_RiverSouthAR18.pdf,7/30/1997,7/30/2020
River West,104,2018,22699022,182087909,,0,2320848,63244598,20000000,,305298.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_104_RiverWestAR18.pdf,1/10/2001,12/31/2025
Roosevelt/Cicero Industrial Corridor,038,2018,3575404,36430183,,0,335180,13636864,636800,,45389.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_038_RooseveltCiceroAR18.pdf,2/5/1998,2/5/2021
Roosevelt/Racine,062,2018,2056810,19798973,1000000,1000000,4475555,4926758,,,28463.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_062_RooseveltRacineAR18.pdf,11/4/1998,12/31/2034
Roosevelt/Union,068,2018,5580155,60956980,,0,5265100,7531592,,,79007.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_068_RooseveltUnionAR18.pdf,5/12/1999,5/12/2022
Roseland/Michigan,113,2018,608518,7173481,,0,32564,949683,,946978,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_113_RoselandMichiganAR18.pdf,1/16/2002,12/31/2026
Red Purple Modernization Phase One (Transit TIF),180,2018,16694184,25028082,,0,222191,24419197,,,214034.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_180_RPMPhaseOneProjectAR18.pdf,11/30/2016,12/31/2052
Sanitary and Ship Canal,042,2018,887464,16054798,,0,12790,2449630,,,10038.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_042_SanitaryDrainageShipCanalAR18.pdf,7/24/1991,12/31/2027
South Chicago,093,2018,1535490,17322957,,0,1063300,7200502,229500,,19797.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_093_SouthChicagoAR18.pdf,4/12/2000,12/31/2024
South Works Industrial,078,2018,0,1461963,,0,263164,991485,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_078_SouthWorksAR18.pdf,11/3/1999,12/31/2023
Stevenson Brighton,149,2018,3858324,12424343,300000,2300000,2227136,3755821,,,51310.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_149_StevensonBrightonAR18.pdf,4/11/2007,12/31/2031
Stockyards Annex,043,2018,1932172,26635830,,525000,195567,6975299,1047900,,24816.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_043_StockyardsAnnexAR18.pdf,12/11/1996,12/31/2020
Stockyards Southeast Quadrant Industrial,045,2018,1889945,40381975,,3675608,30206,5839650,1236900,,24368.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_045_StockyardsSEQuadrantAR18.pdf,2/26/1992,12/31/2028
Stony Island Commercial/Burnside Industrial,054,2018,4086967,42133216,,0,1858570,7931788,,1822797,52809.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_054_StonyIslandBurnsideAR18.pdf,6/10/1998,12/31/2034
Touhy/Western,146,2018,361450,4523915,1968193,18006344,2453260,3776762,,,,692973.96,Zions Bank,1751333.60,Amalgamated Bank of Chicago,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_146_TouhyWesternAR18.pdf,9/13/2006,12/31/2030
Washington Park,178,2018,928492,1454666,1587500,1887500,1689723,1583992,,,11788.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_178_WashingtonParkAR18.pdf,10/8/2014,12/31/2038
Weed/Fremont,158,2018,431528,4513853,,0,747325,0,942316,,12166.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_158_WeedFremontAR18.pdf,1/9/2008,12/31/2018
West Irving Park,083,2018,1352551,14599956,500000,2500000,759956,2683662,721800,1700000,16924.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_083_WestIrvingParkAR18.pdf,1/12/2000,12/31/2024
Western Avenue North,084,2018,9399511,77867290,250000,2250000,3142121,7575935,,10866666,117221.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_084_WesternNorthAR18.pdf,1/12/2000,12/31/2024
Western Avenue South,085,2018,9169536,91062182,250000,250000,518876,24578728,4088600,,122964.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_085_WesternSouthAR18.pdf,1/12/2000,12/31/2024
Western/Rock Island,142,2018,1219200,13074435,1831115,5031115,2317530,1748954,,,15095.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_142_WesternRockIslandAR18.pdf,2/8/2006,12/31/2030
West Woodlawn,171,2018,-911,96451,,1500000,16470,286258,,,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_171_WestWoodlawnAR18.pdf,5/12/2010,12/31/2034
Wilson Yard,110,2018,9384917,97408147,,0,6560704,17506562,,,124208.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_110_WilsonYardAR18.pdf,6/27/2001,12/31/2025
Woodlawn,065,2018,3544196,41351428,,0,55204,14406879,,1850624,48383.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_065_WoodlawnAR18.pdf,1/20/1999,1/20/2022
Western/Ogden,048,2018,10971584,104157304,,0,1891228,28830985,6459500,5500000,138618.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/18reports/T_048_WesternOgdenAR18.pdf,2/5/1998,2/5/2021
